date,diamond price
10/15/2020,9610.9
10/14/2020,9605.16
10/13/2020,9594.79
10/12/2020,9579.25
10/11/2020,9563.9
10/10/2020,9558.07
10/9/2020,9551.08
10/8/2020,9547.61
10/7/2020,9545.14
10/6/2020,9539.48
10/5/2020,9534.51
10/4/2020,9528.85
10/3/2020,9523.73
10/2/2020,9517.39
10/1/2020,9516.35
9/30/2020,9512.68
9/29/2020,9513.91
9/28/2020,9509.9
9/27/2020,9505.65
9/26/2020,9499.42
9/25/2020,9491.32
9/24/2020,9491.85
9/23/2020,9487.61
9/22/2020,9487.04
9/21/2020,9480.65
9/20/2020,9475.6
9/19/2020,9476.93
9/18/2020,9472.45
9/17/2020,9467.78
9/16/2020,9461.64
9/15/2020,9458.68
9/14/2020,9458.68
9/13/2020,9451.8
9/12/2020,9445.02
9/11/2020,9440.84
9/10/2020,9435.34
9/9/2020,9434.94
9/8/2020,9432.4
9/7/2020,9429.71
9/6/2020,9426.01
9/5/2020,9419.89
9/4/2020,9413.23
9/3/2020,9405.68
9/2/2020,9404.5
9/1/2020,9397.97
8/31/2020,9384.52
8/30/2020,9382.03
8/29/2020,9377.2
8/28/2020,9375.27
8/27/2020,9373.87
8/26/2020,9360.87
8/25/2020,9359.46
8/24/2020,9343.66
8/23/2020,9335.4
8/22/2020,9330.36
8/21/2020,9325
8/20/2020,9327.32
8/19/2020,9324.84
8/18/2020,9319.27
8/17/2020,9315.09
8/16/2020,9308.92
8/15/2020,9304.38
8/14/2020,9301.33
8/13/2020,9300.89
8/12/2020,9303
8/11/2020,9303.65
8/10/2020,9302.18
8/9/2020,9293.22
8/8/2020,9291.25
8/7/2020,9284
8/6/2020,9276.63
8/5/2020,9277.91
8/4/2020,9274.48
8/3/2020,9281.65
8/2/2020,9281.65
8/1/2020,9295.29
7/31/2020,9288.29
7/30/2020,9281.7
7/29/2020,9273.06
7/28/2020,9275.95
7/27/2020,9279.32
7/26/2020,9277.92
7/25/2020,9279.18
7/24/2020,9277.22
7/23/2020,9284.4
7/22/2020,9283.82
7/21/2020,9285.01
7/20/2020,9273.46
7/19/2020,9275.28
7/18/2020,9278.93
7/17/2020,9276.79
7/16/2020,9281.02
7/15/2020,9281.84
7/14/2020,9283.89
7/13/2020,9279.4
7/12/2020,9274.87
7/11/2020,9272.28
7/10/2020,9277.67
7/9/2020,9277.43
7/8/2020,9278.53
7/7/2020,9282.06
7/6/2020,9283.84
7/5/2020,9278.39
7/4/2020,9276.46
7/3/2020,9283.35
7/2/2020,9281.9
7/1/2020,9287.89
6/30/2020,9296.15
6/29/2020,9303.69
6/28/2020,9308.3
6/27/2020,9307.32
6/26/2020,9308.38
6/25/2020,9311.19
6/24/2020,9319.21
6/23/2020,9327.81
6/22/2020,9332.95
6/21/2020,9333.95
6/20/2020,9337.08
6/19/2020,9332.38
6/18/2020,9331.32
6/17/2020,9337.31
6/16/2020,9341.82
6/15/2020,9341.68
6/14/2020,9344.27
6/13/2020,9344.26
6/12/2020,9340.76
6/11/2020,9347.43
6/10/2020,9370.58
6/9/2020,9370.45
6/8/2020,9372.33
6/7/2020,9370.03
6/6/2020,9375.01
6/5/2020,9388.86
6/4/2020,9380.21
6/3/2020,9368.34
6/2/2020,9375.56
6/1/2020,9376.03
5/31/2020,9386.6
5/30/2020,9412.18
5/29/2020,9411.74
5/28/2020,9405.87
5/27/2020,9408.61
5/26/2020,9405.21
5/25/2020,9405.4
5/24/2020,9400.94
5/23/2020,9401.26
5/22/2020,9397.84
5/21/2020,9392.64
5/20/2020,9384.19
5/19/2020,9383.08
5/18/2020,9375.45
5/17/2020,9375.38
5/16/2020,9363.32
5/15/2020,9364.18
5/14/2020,9365.19
5/13/2020,9376.51
5/12/2020,9370.64
5/11/2020,9364.1
5/10/2020,9365.18
5/9/2020,9369.24
5/8/2020,9380.04
5/7/2020,9384.2
5/6/2020,9387.11
5/5/2020,9390.56
5/4/2020,9397.22
5/3/2020,9392.98
5/2/2020,9397.02
5/1/2020,9399.02
4/30/2020,9400.77
4/29/2020,9397.84
4/28/2020,9397.82
4/27/2020,9397.27
4/26/2020,9401.22
4/25/2020,9404.44
4/24/2020,9410.38
4/23/2020,9415.49
4/22/2020,9423.23
4/21/2020,9484.01
4/20/2020,9513.56
4/19/2020,9523.06
4/18/2020,9527.48
4/17/2020,9540.35
4/16/2020,9547.19
4/15/2020,9552.3
4/14/2020,9563.39
4/13/2020,9579.74
4/12/2020,9591.17
4/11/2020,9586.8
4/10/2020,9597.35
4/9/2020,9599.88
4/8/2020,9599.67
4/7/2020,9593.05
4/6/2020,9591.16
4/5/2020,9594.34
4/4/2020,9603.37
4/3/2020,9601.75
4/2/2020,9608.49
4/1/2020,9611.54
3/31/2020,9612
3/30/2020,9609.78
3/29/2020,9607.45
3/28/2020,9613.66
3/27/2020,9609.65
3/26/2020,9615.15
3/25/2020,9617.54
3/24/2020,9621.26
3/23/2020,9623.12
3/22/2020,9622.71
3/21/2020,9627.43
3/20/2020,9641.16
3/19/2020,9649.04
3/18/2020,9658.41
3/17/2020,9662.81
3/16/2020,9672.38
3/15/2020,9690.68
3/14/2020,9695.47
3/13/2020,9700.07
3/12/2020,9706.94
3/11/2020,9706.52
3/10/2020,9712.17
3/9/2020,9717.43
3/8/2020,9717.56
3/7/2020,9720.54
3/6/2020,9728.24
3/5/2020,9725.68
3/4/2020,9727.49
3/3/2020,9735.76
3/2/2020,9743.2
3/1/2020,9746.04
2/29/2020,9748.03
2/28/2020,9753.36
2/27/2020,9747.38
2/26/2020,9758.61
2/25/2020,9766.9
2/24/2020,9771.57
2/23/2020,9770.55
2/22/2020,9769.25
2/21/2020,9769.36
2/20/2020,9765.71
2/19/2020,9762.87
2/18/2020,9757.1
2/17/2020,9759.69
2/16/2020,9762.8
2/15/2020,9759
2/14/2020,9763
2/13/2020,9764.99
2/12/2020,9771.21
2/11/2020,9779
2/10/2020,9790
2/9/2020,9789.53
2/8/2020,9783.01
2/7/2020,9783.93
2/6/2020,9784.46
2/5/2020,9780.93
2/4/2020,9783.4
2/3/2020,9781.56
2/2/2020,9779.85
2/1/2020,9774.27
1/31/2020,9773.72
1/30/2020,9771.98
1/29/2020,9780.12
1/28/2020,9793.02
1/27/2020,9791.79
1/26/2020,9795.74
1/25/2020,9791.68
1/24/2020,9788.79
1/23/2020,9789.45
1/22/2020,9793.71
1/21/2020,9791.9
1/20/2020,9793.31
1/19/2020,9800.97
1/18/2020,9813.01
1/17/2020,9817.21
1/16/2020,9821.16
1/15/2020,9816.17
1/14/2020,9815.92
1/13/2020,9815.88
1/12/2020,9805.33
1/11/2020,9803.97
1/10/2020,9807.76
1/9/2020,9806.99
1/8/2020,9816.52
1/7/2020,9812.78
1/6/2020,9813.34
1/5/2020,9808.43
1/4/2020,9803.63
1/3/2020,9804.4
1/2/2020,9815.3
1/1/2020,9814.93
12/31/2019,9815.83
12/30/2019,9815.44
12/29/2019,9816.92
12/28/2019,9813.94
12/27/2019,9819.44
12/26/2019,9820.67
12/25/2019,9821.16
12/24/2019,9821.64
12/23/2019,9821.23
12/22/2019,9819.5
12/21/2019,9814.35
12/20/2019,9811.11
12/19/2019,9808.24
12/18/2019,9814.19
12/17/2019,9814.19
12/16/2019,9815.85
12/15/2019,9812.95
12/14/2019,9812.67
12/13/2019,9807.89
12/12/2019,9804.82
12/11/2019,9809.05
12/10/2019,9808.79
12/9/2019,9814.46
12/8/2019,9808.39
12/7/2019,9798.88
12/6/2019,9801.09
12/5/2019,9801.14
12/4/2019,9791.77
12/3/2019,9793.82
12/2/2019,9795.45
12/1/2019,9802.3
11/30/2019,9811.52
11/29/2019,9811.28
11/28/2019,9807.35
11/27/2019,9804.35
11/26/2019,9807.03
11/25/2019,9810.29
11/24/2019,9816.93
11/23/2019,9810.7
11/22/2019,9821.05
11/21/2019,9838.58
11/20/2019,9873.72
11/19/2019,9875.03
11/18/2019,9877.57
11/17/2019,9874.57
11/16/2019,9876.79
11/15/2019,9872.42
11/14/2019,9872.63
11/13/2019,9869.85
11/12/2019,9868.86
11/11/2019,9865.23
11/10/2019,9860.47
11/9/2019,9856.87
11/8/2019,9858.45
11/7/2019,9854.38
11/6/2019,9857
11/5/2019,9861.1
11/4/2019,9867.6
11/3/2019,9874.79
11/2/2019,9865.83
11/1/2019,9859.45
10/31/2019,9864.12
10/30/2019,9859.15
10/29/2019,9858.14
10/28/2019,9862.21
10/27/2019,9862.04
10/26/2019,9859.69
10/25/2019,9859.72
10/24/2019,9860.55
10/23/2019,9863.33
10/22/2019,9861.21
10/21/2019,9860.6
10/20/2019,9853.9
10/19/2019,9856.92
10/18/2019,9861.29
10/17/2019,9858.65
10/16/2019,9856.45
10/15/2019,9855.96
10/14/2019,9860.12
10/13/2019,9859.55
10/12/2019,9858.88
10/11/2019,9853.38
10/10/2019,9850.54
10/9/2019,9858.68
10/8/2019,9861.2
10/7/2019,9865.71
10/6/2019,9865.38
10/5/2019,9866.6
10/4/2019,9865.62
10/3/2019,9860.74
10/2/2019,9858.33
10/1/2019,9855.94
9/30/2019,9862.53
9/29/2019,9868.45
9/28/2019,9867.33
9/27/2019,9863.58
9/26/2019,9862
9/25/2019,9861.05
9/24/2019,9858.51
9/23/2019,9850.1
9/22/2019,9833.6
9/21/2019,9791.67
9/20/2019,9793.78
9/19/2019,9797.85
9/18/2019,9798.99
9/17/2019,9806.37
9/16/2019,9808.6
9/15/2019,9809.68
9/14/2019,9813.37
9/13/2019,9809.67
9/12/2019,9809.67
9/11/2019,9811.68
9/10/2019,9826.39
9/9/2019,9832.49
9/8/2019,9828.55
9/7/2019,9828.93
9/6/2019,9833.19
9/5/2019,9834.67
9/4/2019,9836.13
9/3/2019,9830.81
9/2/2019,9835.88
9/1/2019,9835.81
8/31/2019,9834.38
8/30/2019,9835.97
8/29/2019,9835.03
8/28/2019,9836.84
8/27/2019,9842.34
8/26/2019,9844.56
8/25/2019,9848.43
8/24/2019,9852.86
8/23/2019,9852.38
8/22/2019,9854.28
8/21/2019,9856.62
8/20/2019,9854.46
8/19/2019,9860.76
8/18/2019,9871.41
8/17/2019,9878.62
8/16/2019,9886.81
8/15/2019,9896.52
8/14/2019,9893.48
8/13/2019,9895.96
8/12/2019,9900.1
8/11/2019,9907.55
8/10/2019,9909.26
8/9/2019,9916.3
8/8/2019,9921.01
8/7/2019,9925.56
8/6/2019,9927.51
8/5/2019,9928.94
8/4/2019,9932.32
8/3/2019,9934.89
8/2/2019,9943
8/1/2019,9961.14
7/31/2019,9965.5
7/30/2019,9971.64
7/29/2019,9978.29
7/28/2019,9981.42
7/27/2019,9990.12
7/26/2019,9994.18
7/25/2019,10003.59
7/24/2019,10012.66
7/23/2019,10016.73
7/22/2019,10028.77
7/21/2019,10032.66
7/20/2019,10050.03
7/19/2019,10055.29
7/18/2019,10059.51
7/17/2019,10058.9
7/16/2019,10065.82
7/15/2019,10067.6
7/14/2019,10073.09
7/13/2019,10068.81
7/12/2019,10074.43
7/11/2019,10103.14
7/10/2019,10103.12
7/9/2019,10108.33
